METAR,RCKU,020830Z,360,13KT,9999,SCT008 BKN016 OVC030,17,13,Q1020,NOSIG,A3013,,,,,
METAR,RCKU,020800Z,350,14KT,9999,SCT008 BKN016 OVC030,17,13,Q1020,NOSIG,A3013,,,,,
METAR,RCKU,020730Z,360,15KT,9999,SCT008 BKN016 OVC030,18,14,Q1020,NOSIG,A3013,,,,,
METAR,RCKU,020700Z,350,16KT,9999,SCT008 BKN016 OVC030,18,14,Q1020,NOSIG,A3013,,,,,
METAR,RCKU,020630Z,350,15KT,9999,FEW010 BKN016 OVC030,18,14,Q1020,NOSIG,A3014,,,,,
METAR,RCKU,020600Z,350,15KT,9999,FEW010 BKN016 OVC030,19,15,Q1020,NOSIG,A3014,,,,,
METAR,RCKU,020530Z,350,15KT,9999,FEW010 BKN016 BKN030,19,15,Q1021,NOSIG,A3015,,,,,
METAR,RCKU,020500Z,350,14KT,9999,FEW010 BKN016 BKN030,19,15,Q1021,NOSIG,A3016,,,,,
METAR,RCKU,020430Z,350,13KT,9999,FEW010 BKN016 BKN030,20,16,Q1021,NOSIG,A3016,,,,,
METAR,RCKU,020400Z,350,12KT,9999,FEW010 BKN016 BKN030,20,16,Q1022,NOSIG,A3018,,,,,
METAR,RCKU,020330Z,350,13KT,9999,FEW010 SCT025 BKN100,19,16,Q1022,NOSIG,A3018,,,,,
METAR,RCKU,020300Z,360,12KT,9999,FEW010 SCT025 BKN100,19,16,Q1022,NOSIG,A3020,RA,AMT,T,,
SPECI,RCKU,020234Z,360,14KT,9999,FEW010 SCT025 BKN100,18,17,Q1022,NOSIG,A3020,,,,,
METAR,RCKU,020230Z,360,14KT,9000,-RA,SCT006 BKN016 BKN030,18,17,Q1023,NOSIG,A3021,,,,
METAR,RCKU,020200Z,350,14KT,7000,-RA,SCT006 BKN016 BKN030,17,16,Q1023,NOSIG,A3022,RA,AMT,T,
SPECI,RCKU,020135Z,360,12KT,6000,-RA,SCT006 BKN016 BKN030,16,16,Q1023,NOSIG,A3021,,,,
METAR,RCKU,020130Z,350,12KT,4000,-RA,BR,SCT006 BKN016 OVC030,16,15,Q1023,BECMG,5000,BR,A3021,
METAR,RCKU,012030Z,360,10KT,8000,-RA,FEW006 SCT020 BKN040,15,14,Q1022,A3018,,,,,
METAR,RCKU,012000Z,360,10KT,8000,-RA,FEW010 SCT020 BKN040,15,14,Q1022,A3018,RA,AMT,0.2MM,,
SPECI,RCKU,011903Z,360,09KT,9999,-RA,FEW010 SCT020 BKN040,15,14,Q1021,A3017,,,,,
METAR,RCKU,011900Z,360,09KT,9999,FEW010 SCT020 BKN040,15,14,Q1021,A3017,,,,,,
METAR,RCKU,011800Z,360,11KT,9999,FEW010 SCT020 BKN040,15,14,Q1022,A3018,,,,,,
METAR,RCKU,011700Z,360,09KT,9999,FEW010 SCT020 BKN040,15,14,Q1022,A3018,,,,,,
METAR,RCKU,011600Z,360,10KT,9999,FEW012 SCT020 BKN040,16,14,Q1022,A3019,,,,,,
METAR,RCKU,011500Z,360,09KT,9999,FEW012 SCT020 BKN040,16,14,Q1022,A3018,,,,,,
METAR,RCKU,011400Z,360,08KT,9999,FEW012 SCT020 BKN040,16,15,Q1022,A3019,,,,,,
METAR,RCKU,011330Z,360,08KT,9999,FEW012 SCT020 BKN040,16,15,Q1022,A3018,,,,,,
METAR,RCKU,011300Z,350,08KT,9999,FEW012 SCT020 BKN040,16,15,Q1022,A3018,,,,,,
METAR,RCKU,011230Z,350,08KT,9999,FEW012 SCT020 BKN040,16,15,Q1022,A3018,,,,,,
METAR,RCKU,011200Z,010,08KT,9999,VCSH,FEW012 SCT020 BKN040,16,15,Q1021,A3017,RA,AMT,T,VCSH,W
SPECI,RCKU,011142Z,360,09KT,9999,VCSH,FEW012 SCT020 BKN040,16,15,Q1021,A3017,VCSH,W,,,
METAR,RCKU,011130Z,350,09KT,9999,-RA,FEW012 SCT020 BKN040,16,15,Q1021,A3016,,,,,
METAR,RCKU,011100Z,340,07KT,9999,-RA,FEW012 BKN060,17,15,Q1021,A3015,RA,AMT,T,,
METAR,RCKU,011030Z,360,06KT,9999,-RA,FEW012 BKN060,17,16,Q1020,A3014,,,,,
METAR,RCKU,011000Z,360,06KT,9999,-RA,FEW012 SCT030 BKN060,17,15,Q1020,A3013,,,,,
METAR,RCKU,010930Z,350,08KT,9999,-RA,FEW012 SCT030 BKN060,17,15,Q1021,A3015,,,,,
METAR,RCKU,010900Z,360,08KT,9999,-RA,FEW012 SCT030 BKN060,17,15,Q1020,NOSIG,A3014,RA,AMT,T,
METAR,RCKU,010830Z,350,09KT,9999,-RA,FEW012 SCT030 BKN060,17,16,Q1020,NOSIG,A3014,,,,
